title_theme,title_index,author,theme,cycle,collection,mss_ff,mss,ff,page,mss_index
saint graal,saint graal,,british and english traditions,cycle of arthur,additional,"add. 10,292. ff. 1-76","add. 10,292.",ff. 1-76,340,"additional add. 10,292. ff. 1-76"
merlin,merlin,,british and english traditions,cycle of arthur,harley,harley 6223. art. i.,harley 6223. art. i.,,343,harley 6223. art. i.
merlin,merlin,,british and english traditions,cycle of arthur,harley,harley 6340,harley 6340,,343,harley 6340
merlin,merlin,,british and english traditions,cycle of arthur,additional,"add. 10,292. ff. 76-216 b","add. 10,292.",ff. 76-216 b,343,"additional add. 10,292. ff. 76-216 b"
merlin,merlin,,british and english traditions,cycle of arthur,additional,add. 27879 ff. 72 b-89,add. 27879,ff. 72 b-89,343,additional add. 27879 ff. 72 b-89
lancelot du lac,lancelot du lac,,british and english traditions,cycle of arthur,royal,14. e. iii. ff. 89-161 b,14. e. iii.,ff. 89-161 b,345,royal 14. e. iii. ff. 89-161 b
lancelot du lac,lancelot du lac,,british and english traditions,cycle of arthur,royal,19. b. vii.,19. b. vii.,,345,royal 19. b. vii.
lancelot du lac,lancelot du lac,,british and english traditions,cycle of arthur,royal,19. c. viii.,19. c. viii.,,345,royal 19. c. viii.
lancelot du lac,lancelot du lac,,british and english traditions,cycle of arthur,royal,20. b. xix.,20. b. xix.,,345,royal 20. b. xix.
lancelot du lac,lancelot du lac,,british and english traditions,cycle of arthur,royal,20. c. vi.,20. c. vi.,,345,royal 20. c. vi.
lancelot du lac,lancelot du lac,,british and english traditions,cycle of arthur,royal,20. d. iii.,20. d. iii.,,345,royal 20. d. iii.
lancelot du lac,lancelot du lac,,british and english traditions,cycle of arthur,royal,20. d. iv.,20. d. iv.,,345,royal 20. d. iv.
lancelot du lac,lancelot du lac,,british and english traditions,cycle of arthur,harley,harley 4419,harley 4419,,345,harley 4419
lancelot du lac,lancelot du lac,,british and english traditions,cycle of arthur,harley,harley 6341,harley 6341,,345,harley 6341
lancelot du lac,lancelot du lac,,british and english traditions,cycle of arthur,lansdowne,lansdowne 757,lansdowne 757,,345,lansdowne 757
lancelot du lac,lancelot du lac,,british and english traditions,cycle of arthur,additional,"add. 10,293","add. 10,293",,345,"additional add. 10,293"
lancelot du lac,lancelot du lac,,british and english traditions,cycle of arthur,additional,"add. 10,294","add. 10,294",,345,"additional add. 10,294"
lancelot du lac,lancelot du lac,,british and english traditions,cycle of arthur,additional,"add. 17,443","add. 17,443",,345,"additional add. 17,443"
tristram,tristram,,british and english traditions,cycle of arthur,royal,20. d. ii.,20. d. ii.,,356,royal 20. d. ii.
tristram,tristram,,british and english traditions,cycle of arthur,harley,harley 49,harley 49,,356,harley 49
tristram,tristram,,british and english traditions,cycle of arthur,harley,harley 4389,harley 4389,,356,harley 4389
tristram,tristram,,british and english traditions,cycle of arthur,additional,add. 5474,add. 5474,,356,additional add. 5474
tristram,tristram,,british and english traditions,cycle of arthur,additional,"add. 23,829","add. 23,829",,356,"additional add. 23,829"
tristram,tristram,,british and english traditions,cycle of arthur,egerton,egerton 989,egerton 989,,356,egerton 989
meliadus,meliadus,,british and english traditions,cycle of arthur,additional,"add. 12,228","add. 12,228",,364,"additional add. 12,228"
guiron le courtois,guiron le courtois,,british and english traditions,cycle of arthur,additional,"add. 23,930. ff. 1-87 b","add. 23,930.",ff. 1-87 b,369,"additional add. 23,930. ff. 1-87 b"
prophecies de merlin,prophecies de merlin,,british and english traditions,cycle of arthur,harley,harley 1629,harley 1629,,371,harley 1629
prophecies de merlin,prophecies de merlin,,british and english traditions,cycle of arthur,additional,"add. 25,434","add. 25,434",,371,"additional add. 25,434"
"meriadoc, and gawain",meriadoc and gawain,,british and english traditions,cycle of arthur,cotton,faustina b. vi. ff. 2-40 b,faustina b. vi.,ff. 2-40 b,374,cotton faustina b. vi. ff. 2-40 b
perceforest,perceforest,,british and english traditions,cycle of arthur,royal,15. e. v.,15. e. v.,,377,royal 15. e. v.
perceforest,perceforest,,british and english traditions,cycle of arthur,royal,19. e. ii.,19. e. ii.,,377,royal 19. e. ii.
perceforest,perceforest,,british and english traditions,cycle of arthur,royal,19. e. iii.,19. e. iii.,,377,royal 19. e. iii.
artus de bretagne,artus de bretagne,,british and english traditions,cycle of arthur,additional,"add. 10,295","add. 10,295",,382,"additional add. 10,295"
cleriadus et meliadice,cleriadus et meliadice,,british and english traditions,cycle of arthur,royal,20. c. ii. ff. 1-209 b,20. c. ii.,ff. 1-209 b,383,royal 20. c. ii. ff. 1-209 b
"birth of merlin, in french verse",birth of merlin,,british and english traditions,cycle of arthur,arundel,arundel 220. art. l,arundel 220. art. l,,384,arundel 220. art. l
"merlin, in english verse",merlin,,british and english traditions,cycle of arthur,harley,harley 6223. art. i.,harley 6223. art. i.,,385,harley 6223. art. i.
"merlin, in english verse",merlin,,british and english traditions,cycle of arthur,harley,harley 6340,harley 6340,,385,harley 6340
"merlin, in english verse",merlin,,british and english traditions,cycle of arthur,additional,"add. 10,292. ff. 76-216 b","add. 10,292.",ff. 76-216 b,385,"additional add. 10,292. ff. 76-216 b"
"merlin, in english verse",merlin,,british and english traditions,cycle of arthur,additional,add. 27879 ff. 72 b-89,add. 27879,ff. 72 b-89,385,additional add. 27879 ff. 72 b-89
"sir gawain and the green knight, and other similar english poems",sir gawain and the green knight,,british and english traditions,cycle of arthur,cotton,nero a. x. ff. 90 b-126,nero a. x.,ff. 90 b-126,387,cotton nero a. x. ff. 90 b-126
iwein,iwein,hartmann von aue,british and english traditions,cycle of arthur,additional,"add. 19,554. ff. 57-100 b","add. 19,554.",ff. 57-100 b,390,"additional add. 19,554. ff. 57-100 b"
ywain and gawain,ywain and gawain,,british and english traditions,cycle of arthur,cotton,galba e. ix. ff. 4-25,galba e. ix.,ff. 4-25,392,cotton galba e. ix. ff. 4-25
"peredur ab efrawc, and parcevals saga",peredur ab efrawc,,british and english traditions,cycle of arthur,additional,"add. 14,907. ff. 149-167","add. 14,907.",ff. 149-167,395,"additional add. 14,907. ff. 149-167"
"sir lancelot of dulake, and king arthur and the king of cornwall",sir lancelot of dulake,,british and english traditions,cycle of arthur,additional,"add. 27879 ff. 10-14, 16, 17",add. 27879,"ff. 10-14, 16, 17",397,"additional add. 27879 ff. 10-14, 16, 17"
wigalois,wigalois,wirnt von gravenberg,british and english traditions,cycle of arthur,additional,"add. 19,554. ff. 2-56 b","add. 19,554.",ff. 2-56 b,398,"additional add. 19,554. ff. 2-56 b"
lybeaus desconus,lybeaus desconus,,british and english traditions,cycle of arthur,cotton,caligula a. ii. ff. 42 b-57,caligula a. ii.,ff. 42 b-57,400,cotton caligula a. ii. ff. 42 b-57
gabons saga ok vigoles,gabons saga ok vigolea,,british and english traditions,cycle of arthur,additional,"add. 11,157. ff. 1-46 b","add. 11,157.",ff. 1-46 b,402,"additional add. 11,157. ff. 1-46 b"
ereks saga artuskappa,ereks saga artuskappa,,british and english traditions,cycle of arthur,additional,add. 4859. ff. 66-74 b,add. 4859.,ff. 66-74 b,403,additional add. 4859. ff. 66-74 b
"boy and mantle, and mottuls saga",boy and mantle,,british and english traditions,cycle of arthur,additional,"add. 27879 ff 140, 141",add. 27879,"ff140, 141",404,"additional add. 27879 ff 140, 141"
morte arthur,morte arthur,,british and english traditions,cycle of arthur,harley,harley 2252. ff. 86-133 b,harley 2252.,ff. 86-133 b,405,harley 2252. ff. 86-133 b
king arthur's death,king arthur's death,,british and english traditions,cycle of arthur,additional,"add. 27879 ff. 89, 91",add. 27879,"ff. 89, 91",406,"additional add. 27879 ff. 89, 91"
samsons saga,samsons saga fagra,,british and english traditions,cycle of arthur,additional,add. 4863. ff. 47-68 b,add. 4863.,ff. 47-68 b,407,additional add. 4863. ff. 47-68 b
lays of marie de fiance,lays of marie de france,,british and english traditions,,harley,harley 978. ff. 118-160,harley 978.,ff. 118-160,408,harley 978. ff. 118-160
emare,emare,,british and english traditions,,cotton,caligula a. ii. ff. 71-76 b,caligula a. ii.,ff. 71-76 b,418,cotton caligula a. ii. ff. 71-76 b
sir gowghter,sir gowghter,,british and english traditions,,royal,17. b. xliii. ff. 116-131 b,17. b. xliii.,ff. 116-131 b,419,royal 17. b. xliii. ff. 116-131 b
hanes taliesin,hanes taliesin,,british and english traditions,,additional,"add. 14,697. ff. 205-208 b","add. 14,697.",ff. 205-208 b,421,"additional add. 14,697. ff. 205-208 b"
hanes taliesin,hanes taliesin,,british and english traditions,,additional,"add. 15,002. ff. 144 b-147 b","add. 15,002.",ff. 144 b-147 b,421,"additional add. 15,002. ff. 144 b-147 b"
havelok,havelok,geffrei gaimar,british and english traditions,,royal,13. a. xxi. ff. 113-117 b,13. a. xxi.,ff. 113-117 b,423,royal 13. a. xxi. ff. 113-117 b
havelok,havelok,geffrei gaimar,british and english traditions,,royal,13. a. xxi. ff. 113-117 b,13. a. xxi.,ff. 113-117 b,423,royal 13. a. xxi. ff. 113-117 b
king horn,king horn,,british and english traditions,,harley,harley 527. ff. 59-73 b,harley 527.,ff. 59-73 b,447,harley 527. ff. 59-73 b
king horn,king horn,,british and english traditions,,harley,harley 2253. ff. 83-92 b,harley 2253.,ff. 83-92 b,447,harley 2253. ff. 83-92 b
pontus et sidoine,pontus and sidoine,,british and english traditions,,royal,15. e. vi. ff. 207-226 b,15. e. vi.,ff. 207-226 b,469,royal 15. e. vi. ff. 207-226 b
guy of warwick,guy of warwick,,british and english traditions,,royal,8. f. ix. ff. 105-159,8. f. ix.,ff. 105-159,471,royal 8. f. ix. ff. 105-159
guy of warwick,guy of warwick,,british and english traditions,,cotton,vespasian d. ix. ff. 40-43 b,vespasian d. ix.,ff. 40-43 b,471,cotton vespasian d. ix. ff. 40-43 b
guy of warwick,guy of warwick,,british and english traditions,,harley,harley 3775. ff. 15-26 b,harley 3775.,ff. 15-26 b,471,harley 3775. ff. 15-26 b
guy of warwick,guy of warwick,,british and english traditions,,harley,harley 5243,harley 5243,,471,harley 5243
guy of warwick,guy of warwick,,british and english traditions,,harley,harley 7333. ff. 33-35 b,harley 7333.,ff. 33-35 b,471,harley 7333. ff. 33-35 b
guy of warwick,guy of warwick,,british and english traditions,,lansdowne,lansdowne 699. ff. 18 b-27 b,lansdowne 699.,ff. 18 b-27 b,471,lansdowne 699. ff. 18 b-27 b
guy of warwick,guy of warwick,,british and english traditions,,sloane,sloane 1044. ff. 625,sloane 1044.,ff. 625,471,sloane 1044. ff. 625
guy of warwick,guy of warwick,,british and english traditions,,additional,"add. 14,408. ff. 74-77","add. 14,408.",ff. 74-77,471,"additional add. 14,408. ff. 74-77"
fulk fitz-warin,fulk fitz-warin,,british and english traditions,,royal,12. c. xii. ff. 33-60 b,12. c. xii.,ff. 33-60 b,501,royal 12. c. xii. ff. 33-60 b
tale of gamelyn,tale of gamelyn,,british and english traditions,,royal,17. d. xv. ff. 66 b-79 b,17. d. xv.,ff. 66 b-79 b,509,royal 17. d. xv. ff. 66 b-79 b
tale of gamelyn,tale of gamelyn,,british and english traditions,,royal,18. c. ii. ff. 56 b-67 b,18. c. ii.,ff. 56 b-67 b,509,royal 18. c. ii. ff. 56 b-67 b
tale of gamelyn,tale of gamelyn,,british and english traditions,,harley,harley 1758. ff. 48-55,harley 1758.,ff. 48-55,509,harley 1758. ff. 48-55
tale of gamelyn,tale of gamelyn,,british and english traditions,,harley,harley 7334. ff. 59-70 b,harley 7334.,ff. 59-70 b,509,harley 7334. ff. 59-70 b
tale of gamelyn,tale of gamelyn,,british and english traditions,,lansdowne,lansdowne 851. ff. 54 b-65,lansdowne 851.,ff. 54 b-65,509,lansdowne 851. ff. 54 b-65
tale of gamelyn,tale of gamelyn,,british and english traditions,,sloane,sloane 1685. ff. 51 b-62 b,sloane 1685.,ff. 51 b-62 b,509,sloane 1685. ff. 51 b-62 b
tale of gamelyn,tale of gamelyn,,british and english traditions,,sloane,sloane 1686. ff. 71-86 b,sloane 1686.,ff. 71-86 b,509,sloane 1686. ff. 71-86 b
robin and gandeleyn,robyn and gandelyn,,british and english traditions,,sloane,sloane 2593. ff. 14 b-15 b,sloane 2593.,ff. 14 b-15 b,516,sloane 2593. ff. 14 b-15 b
robin hood,robin hood,,british and english traditions,,additional,add. 27879 ff. 2-10,add. 27879,ff. 2-10,517,additional add. 27879 ff. 2-10
"adam bell, and other ballads of forest life",,,british and english traditions,,,,,,522,
miscellaneous ballads,miscellaneous ballads,,british and english traditions,,additional,add. 27879 ff. 14 b-24,add. 27879,ff. 14 b-24,525,additional add. 27879 ff. 14 b-24
scottish ballads,scottish ballads,,british and english traditions,,additional,"add. 22,311","add. 22,311",,531,"additional add. 22,311"
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,royal,4. c. xi. ff. 280-286 b,4. c. xi.,ff. 280-286 b,546,royal 4. c. xi. ff. 280-286 b
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,royal,13. d. i. ff. 212 b-222,13. d. i.,ff. 212 b-222,546,royal 13. d. i. ff. 212 b-222
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,cotton,caligula b. vii. ff. 192-203 b,caligula b. vii.,ff. 192-203 b,546,cotton caligula b. vii. ff. 192-203 b
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,cotton,nero a. xi. ff. 8-63,nero a. xi.,ff. 8-63,546,cotton nero a. xi. ff. 8-63
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,cotton,nero a. xi. ff. 8-63,nero a. xi.,ff. 8-63,546,cotton nero a. xi. ff. 8-63
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,cotton,vespasian a. xiii. ff. 94-114 b,vespasian a. xiii.,ff. 94-114 b,546,cotton vespasian a. xiii. ff. 94-114 b
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,cotton,titus a. xix. ff. 24-43,titus a. xix.,ff. 24-43,546,cotton titus a. xix. ff. 24-43
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,harley,harley 108. ff. 4 b-31 b,harley 108.,ff. 4 b-31 b,546,harley 108. ff. 4 b-31 b
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,harley,harley 273. ff. 86-102 b,harley 273.,ff. 86-102 b,546,harley 273. ff. 86-102 b
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,harley,harley 2361. ff. 138-139 b,harley 2361.,ff. 138-139 b,546,harley 2361. ff. 138-139 b
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,harley,harley 2500. ff. 139-155,harley 2500.,ff. 139-155,546,harley 2500. ff. 139-155
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,harley,harley 3043. ff. 17-31,harley 3043.,ff. 17-31,546,harley 3043. ff. 17-31
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,harley,harley 6358. ff. 60-83,harley 6358.,ff. 60-83,546,harley 6358. ff. 60-83
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,arundel,arundel 220. ff. 284-298 b,arundel 220.,ff. 284-298 b,546,arundel 220. ff. 284-298 b
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,additional,add. 6924. ff. 297-303,add. 6924.,ff. 297-303,546,additional add. 6924. ff. 297-303
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,additional,"add. 12,213. ff. 1-184 b","add. 12,213.",ff. 1-184 b,546,"additional add. 12,213. ff. 1-184 b"
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,additional,"add. 17,920. ff. 6 b-19 b","add. 17,920.",ff. 6 b-19 b,546,"additional add. 17,920. ff. 6 b-19 b"
turpin's chronicle,turpin's chronicle,,french traditions,cycle of charlemagne,additional,"add. 19,513. ff. 141-163","add. 19,513.",ff. 141-163,546,"additional add. 19,513. ff. 141-163"
karolellus,karolellus,,french traditions,cycle of charlemagne,royal,13. a. xviii. ff. 136-149 b,13. a. xviii.,ff. 136-149 b,595,royal 13. a. xviii. ff. 136-149 b
philomena,philomena,,french traditions,cycle of charlemagne,additional,"add. 21,218","add. 21,218",,596,"additional add. 21,218"
aspremont,aspremont,,french traditions,cycle of charlemagne,royal,15. e. vi. ff. 43-69 b,15. e. vi.,ff. 43-69 b,598,royal 15. e. vi. ff. 43-69 b
aspremont,aspremont,,french traditions,cycle of charlemagne,additional,"add. 10,508. ff. 1-63 b","add. 10,508.",ff. 1-63 b,598,"additional add. 10,508. ff. 1-63 b"
ogier le danois,ogier le danois,,french traditions,cycle of charlemagne,royal,15. e. vi. ff. 86-154 b,15. e. vi.,ff. 86-154 b,604,royal 15. e. vi. ff. 86-154 b
enfances ogier,enfances ogier,adenet le roi,french traditions,cycle of charlemagne,harley,harley 4404. ff. 102-251 b,harley 4404.,ff. 102-251 b,610,harley 4404. ff. 102-251 b
fierabras,fierabras,,french traditions,cycle of charlemagne,royal,15. e. vi. ff. 70-85 b,15. e. vi.,ff. 70-85 b,616,royal 15. e. vi. ff. 70-85 b
quatre fils aimon,quatre fils aimon,,french traditions,cycle of charlemagne,royal,15. e. vi. ff. 155-206,15. e. vi.,ff. 155-206,619,royal 15. e. vi. ff. 155-206
quatre fils aimon,quatre fils aimon,,french traditions,cycle of charlemagne,royal,16. g. ii.,16. g. ii.,,619,royal 16. g. ii.
quatre fils aimon,quatre fils aimon,,french traditions,cycle of charlemagne,sloane,sloane 960,sloane 960,,619,sloane 960
voyage de charlemagne,,,french traditions,cycle of charlemagne,,,,,625,
simon de pouille,simon de pouille,,french traditions,cycle of charlemagne,royal,15. e. vi. ff. 25-42 b,15. e. vi.,ff. 25-42 b,627,royal 15. e. vi. ff. 25-42 b
gui de bourgogne,gui de bourgogne,,french traditions,cycle of charlemagne,harley,harley 527. ff. 1-32,harley 527.,ff. 1-32,630,harley 527. ff. 1-32
battle of roncevaux,battle of roncevaux,,french traditions,cycle of charlemagne,cotton,titus a. xix. ff. 153-155,titus a. xix.,ff. 153-155,630,cotton titus a. xix. ff. 153-155
guillaume d'orange,guillaume d'orange,,french traditions,,royal,20. b. xix.,20. b. xix.,,632,royal 20. b. xix.
guillaume d'orange,guillaume d'orange,,french traditions,,royal,20. d. xi.,20. d. xi.,,632,royal 20. d. xi.
guillaume d'orange,guillaume d'orange,,french traditions,,harley,harley 1321,harley 1321,,632,harley 1321
girard de roussillon,girard de roussillon,,french traditions,,harley,harley 4334,harley 4334,,663,harley 4334
doon de la roche,doon de la roche,,french traditions,,harley,harley 4404. ff. 1-98,harley 4404.,ff. 1-98,671,harley 4404. ff. 1-98
reali di francia,reali di francia,,french traditions,,additional,"add. 22,312","add. 22,312",,672,"additional add. 22,312"
amys and amylion,amys and amylion,,french traditions,,harley,harley 2386. ff. 131-138,harley 2386.,ff. 131-138,674,harley 2386. ff. 131-138
ricciardetto,riccardetto,niccolo fortiguerra,french traditions,,additional,"add. 10,321","add. 10,321",,680,"additional add. 10,321"
romance of the peers of france,romance of the peers of france,,french traditions,,additional,"add. 10,508. ff. 64-96 b","add. 10,508.",ff. 64-96 b,682,"additional add. 10,508. ff. 64-96 b"
magus saga,magus saga jarls,,french traditions,,additional,add. 4860. ff. 157-188 b,add. 4860.,ff. 157-188 b,684,additional add. 4860. ff. 157-188 b
magus saga,magus saga jarls,,french traditions,,additional,add. 4869. ff. 67-101 b,add. 4869.,ff. 67-101 b,684,additional add. 4869. ff. 67-101 b
magus saga,magus saga jarls,,french traditions,,additional,add. 4874. ff. 1-66,add. 4874.,ff. 1-66,684,additional add. 4874. ff. 1-66
mélusine,mélusine,,french traditions,,royal,18. b. ii.,18. b. ii.,,687,royal 18. b. ii.
mélusine,mélusine,,french traditions,,harley,harley 4418,harley 4418,,687,harley 4418
mélusine,mélusine,,french traditions,,additional,add. 6796,add. 6796,,687,additional add. 6796
partonopeus de blois,partonopeus de blois,,french traditions,,additional,"add. 15,212. ff. 14 b-196 b","add. 15,212.",ff. 14 b-196 b,698,"additional add. 15,212. ff. 14 b-196 b"
chevalier au cygne,,,miscellaneous romance,,,,,,708,
florence de rome,florence de rome,,miscellaneous romance,,lansdowne,"lansdowne 362. ff. 75*, 75**, 76, 77",lansdowne 362.,"ff. 75*, 75**, 76, 77",711,"lansdowne 362. ff. 75*, 75**, 76, 77"
the chaste duchess,the chaste duchess,jacob wimpheling,miscellaneous romance,,additional,"add. 25,569. ff. 15 b-21","add. 25,569.",ff. 15 b-21,713,"additional add. 25,569. ff. 15 b-21"
floire et blancheflor,floire et blancheflor,,miscellaneous romance,,additional,"add. 15,213","add. 15,213",,714,"additional add. 15,213"
filocolo,filocolo,boccaccio,miscellaneous romance,,harley,harley 3314,harley 3314,,716,harley 3314
filocolo,filocolo,boccaccio,miscellaneous romance,,additional,"add. 14,682","add. 14,682",,716,"additional add. 14,682"
blanchandin et orgueillose d'amors,blanchandin et orgueillose d'amors,,miscellaneous romance,,additional,"add. 15,212. ff. 197-266 b","add. 15,212.",ff. 197-266 b,727,"additional add. 15,212. ff. 197-266 b"
ipomedon,ipomedon,hue de rotelande,miscellaneous romance,,harley,harley 2252. ff. 54-84,harley 2252.,ff. 54-84,728,harley 2252. ff. 54-84
"le dit de guillaume d'angleterre, etc","les deux chevaliers, and le dit de guillaume d'angleterre",,miscellaneous romance,,additional,"add. 15,606. ff. 110, col. 2,-113, col. 2; and 140 b-152","add. 15,606.","ff. 110, col. 2,-113, col. 2; and 140 b-152",757,"additional add. 15,606. ff. 110, col. 2,-113, col. 2; and 140 b-152"
sir isumbras,sir isumbras,,miscellaneous romance,,cotton,caligula a. ii. ff. 130-134,caligula a. ii.,ff. 130-134,760,cotton caligula a. ii. ff. 130-134
octavian the emperor,octavian the emperor,,miscellaneous romance,,cotton,caligula a. ii. ff. 22 b-35,caligula a. ii.,ff. 22 b-35,762,cotton caligula a. ii. ff. 22 b-35
king robert of sicily,king robert of sicily,,miscellaneous romance,,harley,harley 525. ff. 35-43 b,harley 525.,ff. 35-43 b,763,harley 525. ff. 35-43 b
king robert of sicily,king robert of sicily,,miscellaneous romance,,harley,harley 1701. ff. 92-95,harley 1701.,ff. 92-95,763,harley 1701. ff. 92-95
king robert of sicily,king robert of sicily,,miscellaneous romance,,additional,"add. 22,283. ff. 90 b-91 b","add. 22,283.",ff. 90 b-91 b,763,"additional add. 22,283. ff. 90 b-91 b"
sir eglamour of ortois,sir eglamour of artois,,miscellaneous romance,,cotton,caligula a. ii. ff. 5 b-13,caligula a. ii.,ff. 5 b-13,766,cotton caligula a. ii. ff. 5 b-13
the king of tars,the diana of montemayor,,miscellaneous romance,,additional,"add. 18,688","add. 18,688",,767,"additional add. 18,688"
theseus de cologne,theseus de cologne,,miscellaneous romance,,additional,"add. 16,955","add. 16,955",,769,"additional add. 16,955"
petit jean de saintré,petit jean de saintré,antoine de la salle,miscellaneous romance,,cotton,nero d. ix. ff. 1-108,nero d. ix.,ff. 1-108,775,cotton nero d. ix. ff. 1-108
petit jean de saintré,petit jean de saintré,antoine de la salle,miscellaneous romance,,additional,"add. 11,614","add. 11,614",,775,"additional add. 11,614"
floridam and elluide by rasse de brinchamel,floridam and elluide,,miscellaneous romance,,cotton,nero d. ix. ff. 109-115,nero d. ix.,ff. 109-115,779,cotton nero d. ix. ff. 109-115
the three kings' sons,the three kings' sons,,miscellaneous romance,,harley,harley 326. ff. 8-123 b,harley 326.,ff. 8-123 b,782,harley 326. ff. 8-123 b
uberto and philomena,uberto and philomena,,miscellaneous romance,,additional,"add. 12,196. ff. 1-48 b","add. 12,196.",ff. 1-48 b,784,"additional add. 12,196. ff. 1-48 b"
amadis de gaula (english translation),amadis de gaula,,miscellaneous romance,,lansdowne,lansdowne 766. ff. 1-18 b,lansdowne 766.,ff. 1-18 b,787,lansdowne 766. ff. 1-18 b
diana,,jorge de montemayor (english translation),miscellaneous romance,,,,,,789,
fiammetta,fiammetta,boccaccio,miscellaneous romance,,harley,harley 3573,harley 3573,,792,harley 3573
fiammetta,fiammetta,boccaccio,miscellaneous romance,,harley,harley 5427,harley 5427,,792,harley 5427
corbaccio,corbaccio,boccaccio,miscellaneous romance,,harley,harley 3581,harley 3581,,794,harley 3581
theagenes and stelliana,theagenes and stelliana,sir kenelm digby,miscellaneous romance,,harley,harley 6758,harley 6758,,795,harley 6758
aronus and marina,aronus and marina,,miscellaneous romance,,harley,harley 2678. ff. 93-96 b,harley 2678.,ff. 93-96 b,797,harley 2678. ff. 93-96 b
antiochus,tale of antiochus,leonardo bruni,miscellaneous romance,,harley,harley 3830. ff. 11 b-17 b,harley 3830.,ff. 11 b-17 b,798,harley 3830. ff. 11 b-17 b
tale of two lovers,tale of two lovers,aeneas sylvius,miscellaneous romance,,royal,12. c. xx. ff. 17-46,12. c. xx.,ff. 17-46,799,royal 12. c. xx. ff. 17-46
tale of two lovers,tale of two lovers,aeneas sylvius,miscellaneous romance,,harley,harley 1883. ff. 119-135 b,harley 1883.,ff. 119-135 b,799,harley 1883. ff. 119-135 b
tale of two lovers,tale of two lovers,aeneas sylvius,miscellaneous romance,,harley,harley 2492. ff. 154 b-169 b,harley 2492.,ff. 154 b-169 b,799,harley 2492. ff. 154 b-169 b
cassandra,cassandra,gautier de costes (english translation),miscellaneous romance,,sloane,sloane 457,sloane 457,,803,sloane 457
contes et fabliaux,contes et fabliaux,,miscellaneous romance,,additional,"add. 15,210-15,213","add. 15,210-15,213",,804,"additional add. 15,210-15,213"
romances and ballads,romances and ballads,,miscellaneous romance,,additional,"add. 27,979","add. 27,979",,817,"additional add. 27,979"
"tales and fables, etc (german)",tales and fables,,miscellaneous romance,,additional,"add. 24,946","add. 24,946",,826,"additional add. 24,946"
romantic tales (icelandic),two romantic tales,,miscellaneous romance,,additional,"add. 4869. ff. 161, 206",add. 4869.,"ff. 161, 206",841,"additional add. 4869. ff. 161, 206"
romantic tales (icelandic),two romantic tales,,miscellaneous romance,,additional,"add. 11,241. ff. 95, 140","add. 11,241.","ff. 95, 140",841,"additional add. 11,241. ff. 95, 140"
romantic tales (icelandic),two romantic tales,,miscellaneous romance,,additional,"add. 24,973. ff. 2-69 b","add. 24,973.",ff. 2-69 b,841,"additional add. 24,973. ff. 2-69 b"
roman de la rose,roman de la rose,guillaume de lorris and jean de meung,allegorical and didactic romance,,royal,19. a. xviii.,19. a. xviii.,,874,royal 19. a. xviii.
roman de la rose,roman de la rose,guillaume de lorris and jean de meung,allegorical and didactic romance,,royal,19. b. xii. ff. 2-147 b,19. b. xii.,ff. 2-147 b,874,royal 19. b. xii. ff. 2-147 b
roman de la rose,roman de la rose,guillaume de lorris and jean de meung,allegorical and didactic romance,,royal,19. b. xiii.,19. b. xiii.,,874,royal 19. b. xiii.
roman de la rose,roman de la rose,guillaume de lorris and jean de meung,allegorical and didactic romance,,royal,20. a. xvii.,20. a. xvii.,,874,royal 20. a. xvii.
roman de la rose,roman de la rose,guillaume de lorris and jean de meung,allegorical and didactic romance,,royal,20. d. vii.,20. d. vii.,,874,royal 20. d. vii.
roman de la rose,roman de la rose,guillaume de lorris and jean de meung,allegorical and didactic romance,,harley,harley 4425,harley 4425,,874,harley 4425
roman de la rose,roman de la rose,guillaume de lorris and jean de meung,allegorical and didactic romance,,additional,"add. 12,042","add. 12,042",,874,"additional add. 12,042"
roman de la rose,roman de la rose,guillaume de lorris and jean de meung,allegorical and didactic romance,,additional,"add. 16,169. ff. 1, 477","add. 16,169.","ff. 1, 477",874,"additional add. 16,169. ff. 1, 477"
roman de la rose,roman de la rose,guillaume de lorris and jean de meung,allegorical and didactic romance,,additional,"add. 31,840","add. 31,840",,874,"additional add. 31,840"
roman de la rose,roman de la rose,guillaume de lorris and jean de meung,allegorical and didactic romance,,egerton,egerton 881,egerton 881,,874,egerton 881
